epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,12042.6,0.39534,0.43517,0.85442,0.45762,1,0.67817,0.6297,0.43932,1.09552,0.77296,0.0011882,0.0011882,0.0011882
43,12199.2,0.44101,0.48035,0.85838,0.62995,1,0.70407,0.64919,0.48763,0.9401,0.78276,0.0011684,0.0011684,0.0011684
44,12355.3,0.38566,0.4836,0.83612,0.61022,1,0.82742,0.75023,0.4593,0.9065,0.78495,0.0011486,0.0011486,0.0011486
45,12497.6,0.40072,0.42326,0.83915,0.61022,1,0.82742,0.75023,0.4593,0.9065,0.78495,0.0011288,0.0011288,0.0011288
46,12633.3,0.4168,0.42232,0.85692,0.59194,0.85714,0.74615,0.65325,0.48858,1.22786,0.79513,0.001109,0.001109,0.001109
47,12777.7,0.37184,0.45004,0.83637,0.57812,0.85714,0.71208,0.61619,0.50324,1.62,0.7871,0.0010892,0.0010892,0.0010892
48,14310.4,0.44859,0.49287,0.88384,0.54435,0.85714,0.71944,0.63707,0.43448,1.5867,0.78032,0.0010694,0.0010694,0.0010694
49,14449.4,0.40045,0.40029,0.84131,0.54435,0.85714,0.71944,0.63707,0.43448,1.5867,0.78032,0.0010496,0.0010496,0.0010496
50,14583.7,0.40559,0.44191,0.88655,0.49453,0.71429,0.66408,0.63795,0.36635,1.64375,0.76937,0.0010298,0.0010298,0.0010298
51,14714.3,0.3678,0.3957,0.8162,0.64355,0.85714,0.75772,0.72265,0.40217,1.37614,0.77402,0.00101,0.00101,0.00101
52,15521.8,0.36607,0.43251,0.82068,0.74408,0.83346,0.79417,0.7347,0.4587,1.27132,0.79447,0.0009902,0.0009902,0.0009902
53,15679.9,0.36791,0.43562,0.83655,0.74408,0.83346,0.79417,0.7347,0.4587,1.27132,0.79447,0.0009704,0.0009704,0.0009704
